title,year_created,festival,description,source_description,artist_id,status,id,location,adress,images,updated_at
Без названия ,2023,STENOGRAFFIA,,https://vk.com/wall-17497334_17450,Полина Головачева,,,56.833906° 60.586307°,Шейкмана 45,"https://sun9-49.userapi.com/impg/mD2ND2ZVT2WK6scvJfW5GX_UMhpMeMedoJmaPQ/ICt4JWLOvGI.jpg?size=2560x1707&quality=95&sign=73a96a5990a0733c28d65498aa87b9c7&type=album
https://sun9-30.userapi.com/impg/ULrH4FPHggg2qBZoMBYX8nX4h0rjKKzjZcH_eA/f1YwAz06Rvk.jpg?size=2560x1708&quality=95&sign=9b6978920c086cc204fea1d16eb9ec22&type=album
https://sun9-79.userapi.com/impg/mGiz3r-D0pjFvu16fgFhORbIwVamCilj3IsTOg/UauaVisNamA.jpg?size=2560x1708&quality=95&sign=0708ad74689a50cc9afe625b2bf386b6&type=album",
Радость творческого пути,2023,STENOGRAFFIA,,https://vk.com/wall-17497334_17430,Денис Kibeda,,,56.841636° 60.685358°,"Высоцкого, 22","https://sun9-39.userapi.com/impg/yleo9PVHYvXGb4HnKaOVUndn0qPnLKhQmmrOdg/Wu02ZGG1TtY.jpg?size=2560x1708&quality=95&sign=f7c8911a5da72f70b5329d62e6a4f3c8&type=album
https://sun9-50.userapi.com/impg/S9bbTl3qQIyz_VDDojasY56BFAt47yetwCBZEw/cp1d4OttTEM.jpg?size=2560x1708&quality=95&sign=1cd498793cedf3544beeb2b0722e1846&type=album
https://sun9-8.userapi.com/impg/86aVLIrTFxgg0V74VXQ1KZoPHbs_dP8zT_7rzg/XIOpH9Qg0VU.jpg?size=2560x1708&quality=95&sign=5e11ee0d13edd74416af12ff2139ee4a&type=album
https://sun9-39.userapi.com/impg/tzSsu2pA4xH8etuKaJ4mPJOVjYHfIBH7PMaDYA/fLsjC35-274.jpg?size=2560x1708&quality=95&sign=0dc4cd75e3d55beee7aa35c4ddffc7a8&type=album
https://sun9-58.userapi.com/impg/CmdIDdsVEeDSgRXZKHt9vMcWQgt9GVT6SghQDQ/4_04D8sDcQ8.jpg?size=2560x1708&quality=95&sign=8eae4ea3d37ec62c628db3cbe99b1830&type=album",
Без названия ,2023,STENOGRAFFIA,,https://vk.com/wall-17497334_17408,Jaume Molera,,,56.83064° 60.562506°,Токарей 31А,"https://sun9-11.userapi.com/impg/Sw5G6wD1_xY_B8pBdEQ9jAuRWAv0Q1lZEBlVLA/Wljz7sgfdwo.jpg?size=2560x1708&quality=95&sign=8f45f66495b5d7c4f9e7f4b130e7b0a0&type=album
https://sun9-23.userapi.com/impg/v6n7mL3BEKX_1zb9r0xY8GLx5c9TE9j31Lm9tA/y6B3hZYdwD8.jpg?size=2560x1708&quality=95&sign=c2ba4cf190d846aa9acc53d39aba5d57&type=album
https://sun9-49.userapi.com/impg/J56EwThIq0uYmeUcnDoFevCVqzFT3LQ4t5gkkA/CMc3ziMfVUY.jpg?size=2560x1708&quality=95&sign=7b6b89174b949ff61341e9627037574a&type=album
https://sun9-31.userapi.com/impg/02g14hYJEKH-69S4g73-l3xUMMmETWkLnOacVQ/Spp-_Dm86BA.jpg?size=2560x1708&quality=95&sign=8aae78ff1c9515ce04d7cb74744ee0d1&type=albumhttps://sun9-23.userapi.com/impg/nP2ONzfjUjaQM2eqcsVxWaR_yECCG_QBNQ-_Zg/ZuQeX4Z3nrE.jpg?size=2560x1708&quality=95&sign=55a1aebe210bc8dec64034014cf2b91f&type=album",
Воспоминания о детстве,2023,STENOGRAFFIA,,https://vk.com/wall-17497334_17370,VERSUS FLOW,,,56.866033° 60.538394°,Седова 21,"https://sun9-80.userapi.com/impg/WeKysHrvizQ9CfVCazZTMfAh9tt8Mt3O-i1MZA/AKje2AYILR0.jpg?size=2560x1708&quality=95&sign=351d3b2d07ee3ec3252fccba85462066&type=album
https://sun9-77.userapi.com/impg/0_UzsofYehWq37KWKwaXNWGNSBkZYfRRa71Wog/wH46TNBWkok.jpg?size=2560x1708&quality=95&sign=02bde3c93f32abc64d5701d65660858c&type=album
https://sun9-46.userapi.com/impg/VSxjHj8TqY8cdlOpxtHNCJdban6-vXQZaxUfHQ/2W8saGueQzc.jpg?size=2560x1706&quality=95&sign=ca745614fc17d1328d8f2638e3d38fd1&type=album",
The Four Horsemen,2023,STENOGRAFFIA,,https://vk.com/wall-17497334_17361,Надя О,,,56.822358° 60.547577°,Репина 56,"https://sun9-76.userapi.com/impg/m0UMwpT9en0qIZQZBLbt7RPbTW15pOfY9c75_A/6FIYiQFS1HA.jpg?size=2560x1707&quality=95&sign=cd97f1f5fb5da611287199ae8c3da6c1&type=album
https://sun9-24.userapi.com/impg/TUC5UbmS7eFlRkC78wlpj7xk8tgOVki41IHogw/wSTvw0Yg884.jpg?size=2560x1707&quality=95&sign=614bed0a14f78a493b09baf514c7bfde&type=album
https://sun9-13.userapi.com/impg/9NDReO8PHXYegm-GxgLVc8-ExFaB0awvTXFMdQ/Vci1ox1o0Xo.jpg?size=2560x1707&quality=95&sign=56128d5b6936410924bb2426c6318de0&type=album
https://sun9-14.userapi.com/impg/v52BrlrNowSHKEM6YaRWvAZgWh5CY3t3T3S7Zg/rg_E3POup8s.jpg?size=2560x1707&quality=95&sign=ccf919b9e18c44f9bcc9750d1cf6d4c0&type=album",
Дружные соседи,2023,STENOGRAFFIA,,https://vk.com/wall-17497334_17305,Мансур Зияев,,,56.783105° 60.517746°,Сахарова 47,https://sun9-73.userapi.com/impg/3EaXDuAO6D19ii2ckArtHwB1xGO43ADYgcbJKw/FQJczDC3JJU.jpg?size=2560x1708&quality=95&sign=8953d5418d161f917860feffff5e8986&type=album,
Спокйствие,2023,STENOGRAFFIA,,https://vk.com/wall-17497334_17305,Мансур Зияев,,,56.784372° 60.515491°,Сахарова 51,"https://sun9-54.userapi.com/impg/tscyA6xJMYjGYAb6Bn57VdV-w3P6uyJfpEiuJg/MHU_g_6bRWc.jpg?size=2560x1708&quality=95&sign=e5807562642033cfa474512483242e11&type=album
https://sun9-40.userapi.com/impg/CClwWIGOtM8MZ2072jzEIj9ELYUBrWavavxpfQ/kbdjRR4lPFw.jpg?size=2560x1708&quality=95&sign=bfe86eaa629616292711594e9ae02eda&type=album",
Скоро новоселье,2023,STENOGRAFFIA,,https://vk.com/wall-17497334_17305,Мансур Зияев,,,56.785089° 60.514205°,Сахарова 53,https://sun9-31.userapi.com/impg/k727hl-I3quqxtqV41nZ_J5zolkekSE6qkIBfA/7fpN1FLLKgU.jpg?size=2560x1708&quality=95&sign=fd495b1dc4d20ff2418eec7aa67d40b1&type=album,
Верность,2023,STENOGRAFFIA,,https://vk.com/wall-17497334_17305,Мансур Зияев,,,56.786361° 60.511931°,Сахарова 57,"https://sun9-70.userapi.com/impg/8V-1r6viDfQ20-qHd7x-WjXmklHiVDqzaGlRjQ/STcGdskOMOY.jpg?size=2560x1708&quality=95&sign=6e28ee1663942fb9e787bf21290deea9&type=album
https://sun9-39.userapi.com/impg/B3y39sakAY9FDDljcg5ICBRrwYA1d7w1fRqKWQ/vUK1APUmn7k.jpg?size=2560x1920&quality=95&sign=1fe824052d86e513eb082f7a4679b044&type=album
https://sun9-73.userapi.com/impg/PWlB0va59QM5gGIgamDbNNCJMITREsIGDn7Gxg/7ZpeiHyewjA.jpg?size=2560x1920&quality=95&sign=8af108f3fe32fd892b396afc9dc3646e&type=album",
Пастрораль,2023,STENOGRAFFIA,,https://vk.com/wall-17497334_17267,Мансур Зияев / VERSUS FLOW,,,56.828629° 60.596758°,Вайнера 60,"https://sun9-78.userapi.com/impg/Ts9sTCi-vOuIOWrGnIMsRziLZ5RmmFWHi02pKw/gycSihbgN1Q.jpg?size=2560x1707&quality=95&sign=5b55f5176a19df258daa3328f71b3f35&type=album
https://sun9-59.userapi.com/impg/0ASB15D2w51FIdsagpBD5uzBGubDEZpmc5pXMw/xqbZJ3ODsa8.jpg?size=2560x1707&quality=95&sign=e19c1ee1390d66ea26d8a5ebab1d5c42&type=album
https://sun9-28.userapi.com/impg/E2Borl-UyLcVxkdTZGp-u3GahgF3u1Dw_4QrYw/-4h-HJFW310.jpg?size=2560x1707&quality=95&sign=39b750bb178df8b8a1fce86ef9d5b7cd&type=album
https://sun9-9.userapi.com/impg/SpDkYyw8gB0DrjazXqYx6-7zWgLwM2O3IxrO6w/btyspK2sVWQ.jpg?size=2560x1707&quality=95&sign=033c93200ce3f28f59b41f3183e4af59&type=album
https://sun9-9.userapi.com/impg/SpDkYyw8gB0DrjazXqYx6-7zWgLwM2O3IxrO6w/btyspK2sVWQ.jpg?size=2560x1707&quality=95&sign=033c93200ce3f28f59b41f3183e4af59&type=album",
